Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Fiat Strada,6.716,7.409,7.567,7.983,11.532,9.840,10.897,14.157,9.908,8.046,9.240,9.169,112.464
2º,Hyundai HB20,5.634,6.161,6.908,6.502,9.634,7.938,8.156,10.919,8.836,9.084,9.457,6.970,96.199
3º,Chevrolet Onix,5.205,6.723,5.421,5.574,6.982,3.949,8.836,9.821,8.078,7.768,7.393,9.511,85.261
4º,Chevrolet Onix Plus,3.431,4.571,4.179,5.240,5.647,3.874,8.135,8.968,7.781,7.354,8.035,8.030,75.245
5º,Fiat Mobi,2.528,4.217,6.581,5.911,7.493,4.725,3.493,7.613,7.476,6.741,8.724,7.258,72.760
6º,Volkswagen Gol,3.435,1.710,1.193,837,6.980,9.435,11.925,11.719,5.773,3.099,7.320,9.166,72.592
7º,Chevrolet Tracker,2.376,3.560,4.748,4.410,6.564,5.312,5.998,6.708,7.127,8.496,7.231,8.283,70.813
8º,Volkswagen T-Cross,3.761,5.118,6.549,4.570,6.406,6.308,3.535,6.194,5.803,5.590,5.174,6.182,65.190
9º,Fiat Argo,2.676,4.376,3.078,5.488,3.415,3.097,6.103,7.594,7.093,6.628,7.737,6.737,64.022
10º,Jeep Compass,4.905,4.503,4.724,4.766,5.924,6.104,4.402,5.284,5.047,5.307,6.409,6.092,63.467
11º,Hyundai Creta,4.175,4.163,4.238,4.255,6.411,5.924,5.125,5.806,5.586,5.048,5.269,6.572,62.572
12º,Renault Kwid,3.180,4.262,3.585,3.849,2.757,5.043,4.489,6.829,5.719,6.041,6.182,5.083,57.019
13º,Jeep Renegade,4.999,2.229,3.789,4.165,5.489,4.123,4.264,4.654,3.755,3.957,4.474,5.420,51.318
14º,Fiat Pulse,3.192,1.887,3.650,5.520,4.950,4.839,5.300,4.771,4.398,4.311,3.685,4.019,50.522
15º,Fiat Toro,3.293,3.256,4.442,5.107,5.287,4.481,4.333,4.290,4.335,2.980,3.473,4.296,49.573
16º,Toyota Hilux,2.912,2.558,3.971,4.069,4.145,3.844,4.122,3.979,4.163,4.203,4.816,5.783,48.565
17º,Toyota Corolla,2.142,2.729,4.196,3.729,4.169,3.834,4.035,3.386,3.360,3.286,3.656,4.330,42.852
18º,Toyota Corolla Cross,2.478,3.732,4.318,3.861,3.905,3.920,3.614,3.250,2.861,3.225,3.402,3.894,42.460
19º,Fiat Cronos,1.732,853,785,3.043,3.682,6.047,3.829,3.757,3.066,3.716,6.575,4.598,41.683
20º,Volkswagen Nivus,1.384,2.417,3.154,2.644,4.087,2.930,2.995,3.380,3.029,3.772,4.859,4.756,39.407
,,,,,,,,,,,,,,
21º,Nissan Kicks,1.682,1.112,2.569,2.473,4.892,4.316,5.221,4.250,3.549,2.604,2.607,3.667,38.942
22º,Volkswagen Voyage,479,187,121,302,3.511,3.603,4.776,5.564,4.476,4.229,4.677,4.002,35.927
23º,Peugeot 208,1.989,1.847,2.307,1.736,2.812,4.349,2.803,2.825,2.214,1.232,3.978,1.787,29.879
24º,Chevrolet S10,739,2.259,2.563,2.736,2.715,2.965,2.229,2.115,2.408,1.625,1.404,3.374,27.132
25º,Toyota Yaris,955,2.067,2.084,2.324,2.281,2.239,2.208,2.235,2.341,2.254,2.365,3.221,26.574
26º,Hyundai HB20S,2.391,2.055,2.304,3.192,3.003,2.499,958,997,1.599,2.155,1.412,2.920,25.485
27º,Volkswagen Saveiro,1.180,247,98,42,1.456,755,1.751,2.836,4.608,4.447,2.975,3.024,23.419
28º,Renault Duster,1.445,1.550,1.908,1.405,1.311,1.839,2.039,2.087,2.506,1.913,2.245,2.268,22.516
29º,Jeep Commander,1.437,1.614,1.835,1.894,1.405,1.426,1.483,2.338,2.064,2.112,2.422,2.281,22.311
30º,Honda City,1.011,2.326,1.992,2.182,2.383,2.431,2.342,2.084,1.742,1.137,1.147,1.324,22.101
31º,Fiat Fiorino,1.343,1.607,2.017,886,2.165,1.572,1.528,1.897,1.903,1.905,2.111,2.019,20.953
32º,Citroën C4 Cactus,2.283,1.628,883,570,1.590,3.664,798,1.983,2.118,1.171,1.004,758,18.450
33º,Chevrolet Spin,513,90,1.224,1.611,1.926,1.539,1.266,1.515,2.062,1.736,1.903,2.432,17.817
34º,Honda City hatchback,2,245,1.933,1.782,1.800,1.564,1.609,1.504,1.452,1.322,1.381,1.507,16.101
35º,Mitsubishi L200 Triton,826,783,1.095,1.055,1.819,1.654,1.794,1.284,1.429,1.242,1.252,1.589,15.822
36º,Toyota Yaris Sedã,593,1.202,1.221,1.160,1.353,1.276,1.350,1.174,1.360,1.456,1.615,2.004,15.764
37º,Honda HR-V,1.792,826,466,115,21,7,9,486,2.956,2.603,2.904,3.198,15.383
38º,Ford Ranger,1.221,769,1.001,1.111,1.215,1.335,653,1.371,1.328,1.403,1.284,1.594,14.285
39º,Toyota SW4,889,997,1.201,1.149,1.274,1.169,1.271,1.221,758,869,1.522,1.380,13.700
40º,Renault Oroch,1.447,542,219,297,385,931,1.368,1.134,1.641,1.443,1.410,1.192,12.009
,,,,,,,,,,,,,,
41º,Volkswagen Taos,946,667,445,225,765,837,1.119,1.167,1.421,989,1.149,1.495,11.225
42º,Citroën C3,1,,,,,16,30,102,1.604,2.620,3.191,3.271,10.835
43º,Renault Sandero,607,469,607,824,1.089,1.062,897,1.002,777,588,1.341,1.365,10.628
44º,CAOA Chery Tiggo 8,670,887,543,883,632,910,665,1.189,1.593,978,776,715,10.441
45º,Renault Logan,607,1.363,798,649,329,895,1.333,687,834,689,1.206,916,10.306
46º,Renault Master,623,480,661,829,1.170,663,941,1.062,1.187,746,756,894,10.012
47º,Fiat Fastback,,,,,,,,16,432,2.843,3.190,3.411,9.892
48º,CAOA Chery Tiggo 5X,598,666,1.081,859,918,1.028,741,763,677,456,1.178,689,9.654
49º,CAOA Chery Tiggo 7,511,750,654,716,1.111,744,556,983,823,479,672,880,8.879
50º,Nissan Frontier,950,565,618,338,721,792,743,600,674,602,1.108,945,8.656
51º,Chevrolet Cruze,458,485,746,1.115,1.085,946,1.049,889,780,413,371,181,8.518
52º,Volkswagen Polo,253,295,491,329,391,248,177,130,89,740,2.152,2.887,8.182
53º,Volkswagen Amarok,954,506,243,101,47,83,636,719,621,432,774,888,6.004
54º,Nissan Versa,796,1.058,836,560,532,364,339,266,196,77,131,482,5.637
55º,Volkswagen Virtus,612,301,429,433,592,415,381,367,313,382,600,796,5.621
56º,BMW Série 3,276,492,558,327,396,422,334,328,377,517,692,812,5.531
57º,Peugeot 2008,1.631,445,393,289,1.042,125,227,118,227,225,210,240,5.172
58º,Fiat Grand Siena,666,2.639,296,205,131,83,59,34,12,7,6,4,4.142
59º,Mitsubishi Eclipse Cross,139,140,138,217,566,358,315,400,426,264,476,284,3.723
60º,CAOA Chery Tiggo 3X,1.023,798,708,544,246,94,68,53,29,17,37,40,3.657
,,,,,,,,,,,,,,
61º,Peugeot Expert,398,261,309,247,429,339,225,386,298,314,155,184,3.545
62º,BMW X1,136,142,395,361,474,470,406,487,346,161,74,28,3.480
63º,Chevrolet TrailBlazer,347,113,80,305,209,126,86,245,717,349,337,296,3.210
64º,Renault Captur,567,480,595,315,240,209,180,130,69,58,49,75,2.967
65º,Iveco Daily,225,242,281,357,326,312,248,229,195,139,151,129,2.834
66º,Citroën Jumpy,198,194,284,242,387,278,165,299,255,129,167,152,2.750
67º,Kia Bongo,151,155,182,206,256,236,258,277,251,257,267,228,2.724
68º,Hyundai New Tucson,220,820,592,42,156,240,26,38,33,22,20,21,2.230
69º,RAM 3500,1,1,,2,94,151,267,225,441,267,304,452,2.205
70º,Volkswagen Delivery Express,172,268,216,176,189,154,185,200,178,125,112,150,2.125
71º,Honda Civic,1.133,471,250,77,27,6,11,6,1,2,1,5,1.990
72º,Mitsubishi Pajero Sport,78,273,290,223,210,138,77,43,42,37,186,349,1.946
73º,Mercedes-Benz Sprinter,89,92,118,113,116,749,145,118,96,83,138,80,1.937
74º,Volvo XC40,219,91,128,98,109,122,75,98,145,264,257,309,1.915
75º,Volvo XC60,198,201,103,136,279,84,101,66,216,77,109,312,1.882
76º,Fiat Ducato,452,326,348,188,247,131,54,40,30,15,8,11,1.850
77º,Chevrolet Equinox,3,4,15,24,42,227,161,143,217,289,288,356,1.769
78º,Ford Transit,,3,8,4,5,108,162,182,284,162,274,555,1.747
79º,Audi Q3,86,30,20,13,135,58,108,188,279,224,213,269,1.623
80º,Audi Q5,166,128,107,93,83,102,130,145,241,64,97,219,1.575
,,,,,,,,,,,,,,
81º,Ford Bronco Sport,71,89,145,125,120,229,162,129,91,175,145,94,1.575
82º,CAOA Chery Arrizo 6,270,170,181,243,125,91,65,56,45,31,71,108,1.456
83º,Chevrolet Cruze Sport6,21,54,194,185,165,150,150,129,98,107,78,68,1.399
84º,Ford Maverick,,34,33,265,176,243,183,161,55,40,62,128,1.380
85º,Land Rover Discovery Sport,78,128,125,95,131,121,134,147,140,85,45,55,1.284
86º,RAM 1500,3,3,28,4,35,150,210,174,148,205,178,112,1.250
87º,Peugeot Partner Rapid,,,,4,82,88,130,,218,205,184,235,1.146
88º,BMW X3,71,59,77,128,96,246,173,130,46,13,40,33,1.112
89º,Mercedes-Benz Classe C,138,164,88,84,104,34,21,7,52,198,96,107,1.093
90º,Toyota RAV4,4,2,1,15,226,169,131,146,124,46,109,111,1.084
91º,Porsche Macan,46,56,176,111,81,74,73,118,96,93,73,87,1.084
92º,RAM 2500,252,42,59,84,98,52,68,107,89,23,31,138,1.043
93º,Mitsubishi Outlander,184,224,208,161,117,52,47,20,15,,1,8,1.037
94º,Fiat Scudo,,,,,,12,60,71,259,220,175,236,1.033
95º,Peugeot Partner,39,26,19,9,9,3,6,897,,,,,1.008
96º,BMW X5,74,123,51,102,62,105,145,170,97,19,10,45,1.003
97º,Ford Territory,119,64,80,99,114,95,67,68,85,79,54,52,976
98º,BMW X4,37,28,89,95,154,104,87,95,79,77,71,47,963
99º,Mercedes-Benz GLB,219,93,264,63,30,4,6,8,2,72,80,111,952
100º,Kia Stonic,39,74,137,81,85,64,64,63,104,28,74,120,933
,,,,,,,,,,,,,,
101º,Porsche Cayenne,18,30,103,75,81,61,79,115,55,71,108,124,920
102º,Volvo XC90,17,12,10,170,108,58,74,48,86,84,87,125,879
103º,Kia Sportage,38,31,29,39,13,11,163,131,121,71,56,169,872
104º,Peugeot 3008,13,9,60,74,70,96,91,99,110,64,72,54,812
105º,CAOA Chery iCar,,,,,,11,19,102,596,41,13,3,785
106º,Fiat Uno,622,46,21,17,23,15,6,6,7,10,5,6,784
107º,Suzuki Jimny Sierra,43,59,73,64,65,55,56,62,50,94,79,77,777
108º,Mercedes-Benz GLE,29,16,29,13,46,150,80,64,116,58,59,86,746
109º,Mercedes-Benz GLC,22,9,27,80,81,171,78,74,77,47,33,40,739
110º,Mini Hatch 3 portas,75,64,74,47,75,21,36,49,68,57,83,82,731
111º,Land Rover Defender,88,46,51,27,37,40,20,34,24,171,111,75,724
112º,Effa V21,29,29,59,35,71,70,74,60,85,74,75,59,720
113º,Honda WR-V,600,79,24,6,,,1,,,,,1,711
114º,Land Rover Range Rover Evoque,69,69,79,93,64,51,64,64,60,38,26,32,709
115º,Hyundai HR,112,143,146,81,41,35,26,14,18,21,3,4,644
116º,JAC E-JS1,30,50,72,37,72,56,88,73,49,27,37,20,611
117º,Porsche 911,14,24,40,44,55,66,46,32,105,73,45,42,586
118º,Volvo C40,5,51,53,125,86,50,1,55,52,41,27,38,584
119º,Land Rover Range Rover Sport,60,100,72,40,62,34,26,10,19,4,22,113,562
120º,RAM Classic,,,,,,,,,,41,207,304,552
,,,,,,,,,,,,,,
121º,Volkswagen Jetta,26,10,5,4,41,178,106,40,5,37,65,31,548
122º,Mercedes-Benz CLA,5,4,9,47,84,100,75,52,30,20,46,72,544
123º,Mercedes-Benz GLA,4,2,12,20,9,17,52,27,20,75,104,149,491
124º,Suzuki Jimny,56,73,83,85,47,41,30,13,10,12,16,20,486
125º,Audi A3 Sedan,60,58,64,41,33,41,28,26,29,10,6,84,480
126º,BMW X6,9,2,26,69,62,93,29,31,33,21,43,53,471
127º,Audi e-tron,2,3,5,10,29,32,58,91,145,9,12,29,425
128º,Renault Kangoo,,,,,1,393,5,2,,,,1,402
129º,Nissan Leaf,41,49,12,33,37,36,9,39,13,9,63,6,347
130º,Kia Carnival,49,41,28,32,27,28,25,31,25,24,19,16,345
131º,Audi A5 Sportback,18,16,14,17,41,17,31,38,26,25,25,76,344
132º,Kia Cerato,44,40,41,50,32,39,23,22,12,14,12,10,339
133º,Ford Mustang,48,21,18,11,5,30,26,60,55,30,18,10,332
134º,Fiat Doblò,48,83,169,3,6,2,1,1,1,,,,314
135º,Audi Q8,29,13,9,9,13,10,38,30,21,50,32,29,283
136º,Subaru XV,76,2,17,12,,1,25,28,1,30,9,77,278
137º,Hyundai ix35,49,35,38,25,28,15,17,17,25,7,5,12,273
138º,Effa V22,12,13,17,21,39,14,20,28,24,27,34,21,270
139º,Audi A4,25,3,11,6,10,6,18,,36,26,29,99,269
140º,Porsche Taycan,21,22,26,23,21,34,41,22,13,3,7,8,241
,,,,,,,,,,,,,,
141º,Hyundai Ioniq,,,,,,,,,238,,,,238
142º,Land Rover Range Rover Velar,26,17,3,3,,,1,14,63,44,37,27,235
143º,JAC e-JS4,13,14,4,29,36,18,24,29,19,12,13,22,233
144º,Honda Fit,154,55,16,4,,1,,,,1,,,231
145º,Porsche Panamera,14,23,16,9,7,20,42,24,21,13,14,24,227
146º,Renault Zoe,51,5,6,,,129,7,,,5,,,203
147º,Fiat 500,19,89,24,14,11,7,16,6,2,4,4,6,202
148º,Subaru Forester,,,44,41,,,34,36,,23,2,12,192
149º,BMW M3,5,8,8,6,20,23,22,16,15,17,8,30,178
150º,BYD Tan,,,5,13,17,11,33,49,17,12,13,6,176
151º,Jaguar F-Pace,9,4,12,6,10,5,3,5,40,28,23,26,171
152º,Audi A3,48,28,16,7,14,22,11,4,3,1,,7,161
153º,Kia Niro,,,,,,,,,146,,8,6,160
154º,BMW i3,12,,4,,6,30,10,11,26,11,10,37,157
155º,Audi Q7,14,4,11,6,8,11,15,16,6,19,14,27,151
156º,BMW Série 4 Cabrio,2,,2,4,6,18,19,9,22,12,14,40,148
157º,CAOA Chery Tiggo 2,56,32,11,13,14,16,1,2,1,1,,,147
158º,Mercedes-Benz Classe A,6,6,19,15,18,5,10,24,18,11,5,9,146
159º,Lexus UX,12,17,12,20,8,11,7,12,8,8,7,18,140
160º,Land Rover Discovery,14,5,7,1,2,2,15,15,13,23,9,28,134
,,,,,,,,,,,,,,
161º,BMW Série 5,6,7,4,3,8,17,15,18,17,7,12,19,133
162º,Jeep Gladiator,,,,,,,9,55,35,17,8,6,130
163º,Foton 1039,2,7,6,13,29,18,13,10,9,7,8,7,129
164º,JAC T40,13,6,15,9,16,14,8,9,11,6,4,7,118
165º,Mini Hatch 5 portas,2,14,13,4,8,7,2,6,28,12,10,7,113
166º,Jaguar E-Pace,25,14,7,2,5,,2,6,23,8,8,7,107
167º,BMW Série 1,,,,2,2,5,5,21,16,18,14,15,98
168º,Peugeot Boxer,13,5,12,11,7,16,13,10,5,2,,,94
169º,Mini Countryman,1,,,,,17,,,,,,66,84
170º,Porsche 718 Boxster,10,23,12,21,8,2,4,1,,1,,,82
171º,Citroën Jumper,6,4,10,2,7,12,13,8,9,3,3,3,80
172º,Honda CR-V,30,11,9,9,9,5,1,1,1,,1,,77
173º,Lexus NX,25,22,15,4,,10,,,,,,,76
174º,Jaguar F-Type,,7,11,,3,1,2,8,13,10,6,13,74
175º,JAC V260,2,3,6,6,12,7,10,8,5,4,4,4,71
176º,Jeep Wrangler,3,3,2,3,3,2,10,15,6,13,4,4,68
