Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
53º,Volkswagen Jetta,481,707,600,587,589,700,666,642,1.052,1.204,838,589,8.655
54º,Chevrolet Tracker,1.039,939,833,992,844,879,746,488,329,376,293,800,8.558
55º,Fiat Punto,1.120,905,1.049,767,667,510,560,482,477,461,349,362,7.709
56º,Citroën Aircross,571,460,468,597,830,552,563,649,591,591,685,907,7.464
57º,Fiat Weekend,530,712,881,405,480,608,512,599,379,814,425,965,7.310
58º,Ford Focus,664,578,620,605,471,441,630,739,678,496,450,395,6.767
59º,Jeep Compass,10,4,2,2,4,3,1,6,89,231,2.539,3.708,6.599
60º,Renault Master,518,460,451,773,503,615,532,530,544,431,489,553,6.399
,,,,,,,,,,,,,,
61º,Fiat Doblò,495,460,490,595,531,732,389,523,486,533,390,731,6.355
62º,Nissan Sentra,594,1.189,1.222,398,365,414,442,328,315,363,374,286,6.290
63º,Volkswagen Golf,1.229,907,619,390,334,374,338,279,236,241,579,441,5.967
64º,Ford Focus Fastback,384,291,373,341,304,359,691,751,634,538,381,477,5.524
65º,Fiat Grand Siena,,,,,,,,,,,2.675,2.398,5.073
66º,Mitsubishi Outlander,520,436,524,416,395,394,355,405,345,294,343,378,4.805
67º,Mitsubishi ASX,411,380,466,353,400,356,399,505,403,362,337,345,4.717
68º,Kia Sportage,381,278,306,262,311,355,665,258,179,516,490,504,4.505
69º,Mercedes-Benz Classe C,322,229,351,183,271,347,390,411,540,495,463,483,4.485
70º,Audi Q3,233,307,446,218,229,351,266,405,494,437,339,646,4.371
71º,Renault Fluence,577,374,363,478,547,215,123,189,317,296,447,403,4.329
72º,Hyundai HR,303,387,538,520,391,442,332,379,320,215,262,221,4.310
73º,Citroën C4 Lounge,372,267,511,354,359,380,278,258,303,247,251,409,3.989
74º,Ford Fusion,279,311,310,301,327,287,309,276,260,178,410,582,3.830
75º,BMW Série 3,266,230,326,307,289,387,358,407,355,294,263,345,3.827
76º,Mercedes-Benz Sprinter,319,319,355,345,299,284,336,309,193,251,374,402,3.786
77º,Volkswagen CrossFox,416,406,477,392,380,327,193,310,279,190,132,237,3.739
78º,Audi A3 Sedan,284,337,620,272,267,537,393,273,181,212,123,184,3.683
79º,Nissan Frontier,263,213,477,302,430,325,329,263,226,202,218,358,3.606
80º,Chevrolet Cruze Sport6,406,302,416,383,314,288,320,340,267,169,154,228,3.587
,,,,,,,,,,,,,,
81º,Land Rover Discovery Sport,392,314,349,258,245,266,300,300,300,200,200,319,3.443
82º,BMW X1,133,83,69,210,431,424,350,359,344,370,314,353,3.440
83º,Mercedes-Benz GLA,220,208,272,280,308,322,313,275,207,226,300,378,3.309
84º,Fiat Idea,405,282,372,305,359,165,158,231,315,336,91,35,3.054
85º,Fiat Ducato,355,380,326,186,244,233,217,237,234,165,140,188,2.905
86º,Mitsubishi Lancer,128,124,168,89,134,106,383,423,349,334,297,267,2.802
