Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Chevrolet Onix,13.462,6.885,9.548,8.783,8.212,8.871,10.726,10.998,10.212,11.131,11.991,14.215,125.034
2º,Fiat Palio,14.432,9.181,9.232,8.841,10.469,10.582,11.312,9.259,8.761,8.128,9.240,12.085,121.522
3º,Hyundai HB20,8.962,6.492,9.100,8.753,8.848,9.165,9.462,9.168,8.889,9.748,10.583,10.680,109.850
4º,Fiat Strada,11.202,8.715,9.946,8.598,7.354,8.679,8.958,8.870,7.116,6.052,6.259,6.492,98.241
5º,Ford Ka,8.229,6.419,8.151,7.845,8.348,6.977,9.281,6.810,7.486,5.880,7.977,6.346,89.749
6º,Volkswagen Gol,7.866,5.864,8.351,7.524,7.988,7.292,7.233,5.854,5.254,6.581,6.427,6.138,82.372
7º,Fiat Uno,8.618,5.967,8.687,8.024,6.860,5.722,6.189,6.973,5.775,5.492,5.173,5.880,79.360
8º,Renault Sandero,6.224,3.861,7.957,7.238,6.621,6.464,6.861,6.669,6.369,5.302,6.253,8.019,77.838
9º,Volkswagen Fox,8.225,6.608,6.235,5.306,5.795,6.119,6.446,5.751,5.749,5.154,4.411,4.988,70.787
10º,Chevrolet Prisma,7.772,4.739,6.260,5.770,5.238,4.663,5.873,4.787,4.714,6.279,6.535,7.275,69.905
11º,Toyota Corolla,4.021,4.383,6.177,5.760,5.769,5.811,6.148,5.735,5.775,5.632,5.694,6.029,66.934
12º,Fiat Siena,7.194,5.016,5.361,4.792,4.559,5.036,5.200,4.990,4.534,4.101,3.958,4.327,59.068
13º,Volkswagen Saveiro,5.735,4.790,6.328,5.426,4.747,5.364,5.684,4.334,4.357,3.707,3.279,2.779,56.530
14º,Volkswagen up!,6.780,5.486,4.910,3.725,3.397,3.513,4.011,5.279,4.344,3.768,4.159,3.944,53.316
15º,Hyundai HB20S,4.102,3.355,5.183,4.419,4.484,4.937,5.028,4.541,4.170,4.578,3.310,4.844,52.951
16º,Honda HR-V,,,2.382,4.957,4.997,5.229,4.429,5.435,5.747,5.447,5.990,6.167,50.780
17º,Honda Fit,5.062,4.581,4.752,3.428,2.662,2.782,2.794,3.269,3.512,3.126,3.030,3.243,42.241
18º,Volkswagen Voyage,4.739,3.634,4.118,4.251,3.670,3.218,3.185,2.941,3.192,2.572,3.410,2.460,41.390
19º,Ford Fiesta,4.943,3.738,3.702,3.401,3.909,3.290,3.800,3.345,2.781,2.464,2.205,2.286,39.864
20º,Jeep Renegade,,19,66,575,2.492,3.059,4.028,4.598,5.676,5.623,6.079,6.561,38.776
,,,,,,,,,,,,,,
21º,Toyota Etios,2.112,2.253,3.439,3.178,3.188,3.288,3.287,3.166,2.805,2.614,2.674,3.048,35.052
22º,Renault Duster,2.823,2.396,2.657,2.893,2.516,3.482,3.198,3.005,2.698,3.053,2.741,2.737,34.199
23º,Ford Ka Sedan,2.762,2.223,3.475,3.909,3.360,2.207,4.133,2.467,2.513,2.311,2.933,1.665,33.958
24º,Ford EcoSport,3.670,2.523,3.265,2.920,2.824,2.628,2.890,2.965,2.655,2.333,2.740,2.274,33.687
25º,Chevrolet S10,3.415,2.481,3.354,2.834,4.149,2.786,2.476,1.676,2.385,2.452,2.236,2.841,33.085
26º,Toyota Hilux,3.654,2.074,3.096,3.030,2.303,2.447,3.149,2.644,2.747,2.168,2.102,3.270,32.684
27º,Honda Civic,2.347,2.408,2.743,2.724,3.244,3.722,3.490,2.573,2.312,1.837,1.756,1.945,31.101
28º,Renault Logan,2.802,2.235,3.724,2.467,2.794,2.985,2.648,2.674,2.240,2.048,2.176,2.250,31.043
29º,Chevrolet Classic,4.404,2.937,3.540,2.859,2.169,2.225,2.539,1.973,1.943,1.518,1.950,2.910,30.967
30º,Chevrolet Spin,3.337,1.740,2.104,2.699,2.266,2.338,1.865,1.785,1.806,2.553,2.411,2.351,27.255
31º,Honda City,2.576,2.727,3.139,2.553,2.112,1.894,1.276,1.526,1.930,1.795,2.171,2.547,26.246
32º,Toyota Etios Sedã,1.308,1.646,2.510,2.269,2.340,2.433,2.538,2.269,2.063,2.068,2.159,2.286,25.889
33º,Chevrolet Montana,3.070,2.259,2.671,2.584,1.870,1.535,2.709,1.427,1.542,1.635,1.246,1.028,23.576
34º,Chevrolet Cobalt,3.258,1.679,2.158,2.158,1.924,1.924,1.716,1.465,1.430,1.521,1.555,2.169,22.957
35º,Nissan March,2.670,1.584,2.693,1.654,1.707,1.850,2.047,1.818,2.240,1.544,1.292,1.841,22.940
36º,Chevrolet Celta,4.854,2.657,3.321,3.346,2.123,873,326,140,71,33,48,,17.792
37º,Nissan Versa,982,188,240,1.313,1.461,1.899,1.972,1.827,1.873,1.322,1.725,2.610,17.412
38º,Citroën C3,1.946,1.184,1.395,1.262,1.232,1.633,1.627,1.509,1.320,1.153,1.286,1.485,17.032
39º,Ford Ranger,1.836,1.476,1.701,1.672,1.587,1.396,1.763,1.276,1.090,817,1.004,1.215,16.833
40º,Fiat Punto,1.747,1.295,1.267,1.497,1.327,1.308,1.344,1.375,1.295,1.265,1.360,1.303,16.383
,,,,,,,,,,,,,,
41º,Fiat Fiorino,1.511,1.438,1.458,1.083,1.299,1.298,1.300,1.283,997,1.075,972,1.269,14.983
42º,Ford Focus,1.354,1.129,1.256,1.202,1.212,1.369,1.582,1.863,1.310,911,859,866,14.913
43º,Renault Clio,1.810,1.438,1.778,1.161,994,998,1.237,1.335,1.246,1.179,800,840,14.816
44º,Hyundai ix35,1.234,851,1.159,1.723,1.574,1.595,1.681,1.055,766,877,1.064,1.079,14.658
45º,Mitsubishi L200 Triton,1.749,1.115,1.509,1.214,1.207,1.077,1.389,1.130,1.154,976,854,1.042,14.416
46º,Peugeot 208,2.026,1.366,1.359,1.053,1.013,1.043,1.232,969,808,684,789,992,13.334
47º,Nissan Sentra,1.510,948,1.209,1.163,1.179,1.070,979,996,768,1.014,695,962,12.493
48º,Volkswagen Amarok,1.228,845,1.314,1.053,945,928,988,1.079,1.008,936,818,993,12.135
49º,Chevrolet Cruze,843,796,1.580,1.157,902,829,828,1.034,1.051,1.134,724,635,11.513
50º,Hyundai Tucson,1.579,1.138,1.006,756,827,1.216,1.219,613,637,607,678,959,11.235
51º,Chevrolet Tracker,994,692,873,719,716,524,903,807,1.182,1.074,1.083,1.399,10.966
52º,Fiat Weekend,1.270,841,824,888,1.111,1.139,840,999,645,749,705,772,10.783
53º,Volkswagen Golf,961,657,1.081,973,893,843,704,553,677,814,630,1.202,9.988
54º,Mitsubishi ASX,1.009,780,982,1.020,845,822,800,776,737,656,590,520,9.537
55º,Volkswagen Jetta,932,493,534,635,973,931,926,922,814,809,528,743,9.240
56º,Chevrolet Cruze Sport6,1.089,766,1.156,795,736,593,634,659,653,673,649,685,9.088
57º,Fiat Doblò,880,708,807,779,657,714,725,438,674,791,762,866,8.801
58º,Toyota SW4,824,527,1.043,999,674,840,899,663,652,618,514,417,8.670
59º,Volkswagen CrossFox,898,743,688,621,915,885,883,688,624,522,495,455,8.417
60º,Renault Master,720,599,854,1.060,658,708,726,594,590,485,725,654,8.373
,,,,,,,,,,,,,,
61º,Fiat Idea,857,744,804,1.021,711,657,525,422,796,602,555,505,8.199
