Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Chevrolet Onix,17.463,17.652,12.007,3.619,3.296,6.234,9.716,10.609,11.710,12.203,14.292,16.566,135.367
2º,Hyundai HB20,6.555,8.420,7.042,2.837,2.218,5.792,7.852,8.489,8.565,8.903,9.465,10.433,86.571
3º,Chevrolet Onix Plus,8.722,9.123,6.670,2.223,1.681,3.040,5.205,5.974,7.093,8.619,12.134,12.919,83.403
4º,Fiat Strada,5.419,5.190,4.799,1.630,1.983,3.830,6.564,8.690,11.873,10.068,9.614,10.390,80.050
5º,Volkswagen Gol,6.030,5.944,5.681,1.648,1.616,3.908,4.427,7.912,9.134,8.473,8.400,7.980,71.153
6º,Ford Ka,7.334,8.183,7.103,1.842,1.719,3.404,4.259,4.617,5.956,7.492,7.526,8.066,67.501
7º,Fiat Argo,4.794,5.917,6.071,1.176,1.768,3.003,4.756,6.040,7.985,7.566,8.455,8.412,65.943
8º,Volkswagen T-Cross,3.339,5.373,4.417,998,1.007,5.463,10.211,6.455,4.729,5.137,5.562,7.433,60.124
9º,Jeep Renegade,4.325,5.354,4.492,1.155,1.293,4.092,4.735,5.211,5.748,6.042,6.543,7.877,56.867
10º,Fiat Toro,5.300,4.474,3.598,1.713,1.662,3.029,4.258,4.824,5.580,5.949,6.611,6.983,53.981
11º,Jeep Compass,4.312,4.684,3.059,1.095,1.255,3.234,4.786,5.221,6.042,6.161,6.155,6.969,52.973
12º,Renault Kwid,6.739,5.813,4.109,1.622,1.818,3.547,4.274,2.260,4.009,5.022,4.260,6.003,49.476
13º,Chevrolet Tracker,957,1.337,1.907,1.395,1.564,4.075,6.070,5.899,6.403,6.595,6.427,6.749,49.378
14º,Hyundai Creta,3.734,4.464,3.484,615,1.123,3.277,4.017,4.434,5.402,5.354,5.218,6.638,47.760
15º,Fiat Mobi,4.316,4.678,3.527,933,992,2.631,3.487,4.275,5.447,5.098,5.711,5.523,46.618
16º,Volkswagen Polo,5.593,5.517,3.774,1.065,1.570,2.955,3.610,3.427,3.360,3.455,3.802,3.716,41.844
17º,Toyota Corolla,3.932,4.515,3.643,1.335,1.374,2.183,3.265,3.196,3.336,4.240,5.017,5.047,41.083
18º,Nissan Kicks,3.815,4.955,3.597,785,780,2.335,2.418,3.202,4.025,3.966,3.429,3.137,36.444
19º,Honda HR-V,3.321,2.989,2.761,551,952,2.478,2.377,2.795,3.314,3.586,3.700,3.691,32.515
20º,Toyota Hilux,3.311,3.125,2.971,1.762,1.444,1.712,2.327,2.690,3.578,3.120,3.048,3.307,32.395
,,,,,,,,,,,,,,
21º,Volkswagen Saveiro,3.255,3.188,2.667,1.090,676,1.613,2.828,3.197,3.050,3.117,2.977,3.310,30.968
22º,Volkswagen Virtus,3.136,3.047,2.562,653,961,1.933,2.642,3.240,3.177,3.480,3.179,2.876,30.886
23º,Chevrolet S10,2.403,1.781,1.582,1.100,1.267,1.443,1.568,2.063,3.149,3.401,3.675,3.210,26.642
24º,Renault Sandero,3.138,4.052,3.303,554,788,1.362,2.005,1.659,2.795,2.420,2.377,1.894,26.347
25º,Ford Ka Sedan,3.148,3.052,3.627,924,432,827,2.253,1.947,2.336,2.542,2.316,2.340,25.744
26º,Volkswagen Voyage,1.562,1.694,1.340,429,601,1.198,1.673,2.455,2.493,2.988,3.425,4.257,24.115
27º,Ford EcoSport,2.238,2.440,2.050,580,851,1.737,2.078,2.106,2.072,2.216,2.426,3.241,24.035
28º,Hyundai HB20S,2.073,2.654,1.778,702,824,1.597,2.031,2.259,1.845,2.330,2.705,3.186,23.984
29º,Fiat Uno,1.304,1.274,1.104,308,630,1.107,1.547,2.726,3.334,3.624,2.977,3.007,22.942
30º,Toyota Yaris,2.608,2.487,1.700,445,526,1.242,1.415,1.783,1.894,2.178,2.567,2.954,21.799
31º,Honda Civic,1.589,1.910,1.356,457,664,1.418,1.230,1.846,2.296,2.463,2.350,2.869,20.448
32º,Volkswagen Fox,2.958,2.183,1.404,313,506,957,1.776,1.573,2.039,2.366,2.229,2.078,20.382
33º,Ford Ranger,1.637,1.316,1.560,1.070,1.400,1.736,1.729,1.279,1.685,1.700,2.321,2.403,19.836
34º,Renault Duster,1.153,720,1.015,1.015,1.015,1.921,1.422,1.197,1.831,2.460,2.618,3.110,19.477
35º,Fiat Fiorino,862,1.412,1.328,232,555,867,1.354,2.099,2.093,2.635,2.588,1.827,17.852
36º,Volkswagen Nivus,,,,,,,488,2.149,3.203,3.124,3.149,4.129,16.242
37º,Fiat Cronos,1.990,1.360,1.557,862,597,1.096,1.337,1.289,1.168,1.605,1.775,1.531,16.167
38º,Toyota Yaris Sedã,1.539,1.730,1.165,343,351,806,1.049,1.435,1.787,1.790,1.901,2.235,16.131
39º,Chevrolet Spin,1.517,1.597,1.274,416,511,1.436,1.831,1.585,1.479,1.373,1.372,1.271,15.662
40º,Renault Logan,1.633,1.735,1.264,256,279,1.043,1.310,583,1.628,1.312,1.529,1.213,13.785
,,,,,,,,,,,,,,
41º,Honda Fit,1.513,1.734,1.274,202,362,1.205,1.181,1.192,1.417,1.236,916,602,12.834
42º,Renault Captur,956,950,1.117,384,322,1.367,1.388,757,578,589,854,1.610,10.872
43º,Fiat Grand Siena,1.131,1.461,913,205,274,621,856,791,1.065,975,1.144,1.421,10.857
44º,Volkswagen Amarok,1.351,1.639,1.145,515,725,842,809,944,841,559,343,908,10.621
45º,Honda WR-V,1.082,1.073,785,134,266,669,589,866,961,1.391,1.429,1.356,10.601
46º,Nissan Versa,1.806,1.871,1.467,313,361,596,681,480,254,108,677,1.293,9.907
47º,Citroën C4 Cactus,1.190,1.447,804,200,365,947,1.006,762,667,696,918,527,9.529
48º,Mitsubishi L200 Triton,622,650,713,432,603,606,1.246,927,1.087,1.009,901,695,9.491
49º,Toyota SW4,879,784,736,371,303,465,604,714,920,862,1.208,1.283,9.129
50º,Chevrolet Cruze,1.739,1.131,656,403,591,1.062,904,507,426,525,428,430,8.802
51º,CAOA Chery Tiggo 5X,887,1.036,1.192,235,156,451,557,662,793,881,824,1.090,8.764
52º,Toyota Etios,1.514,1.040,823,309,379,750,747,960,884,599,360,334,8.699
53º,Volkswagen Tiguan Allspace,797,934,769,147,199,668,876,1.070,739,798,829,475,8.301
54º,Nissan Frontier,673,765,580,501,349,708,612,561,693,945,735,957,8.079
55º,Honda City,830,935,707,139,158,475,367,597,694,733,526,1.123,7.284
56º,Volkswagen up!,892,1.002,812,208,331,789,1.015,914,546,274,93,50,6.926
57º,Chevrolet Montana,264,255,793,522,464,1.018,992,853,320,398,417,358,6.654
58º,Renault Oroch,1.093,619,244,55,47,130,464,271,535,907,848,858,6.071
59º,Volkswagen Jetta,278,771,353,135,484,1.102,664,421,349,436,344,459,5.796
60º,Renault Master,702,557,468,351,240,433,419,305,587,564,325,547,5.498
,,,,,,,,,,,,,,
61º,Toyota Etios Sedã,718,624,502,202,175,329,455,491,628,481,418,285,5.308
62º,BMW Série 3,267,351,329,132,255,579,527,449,564,540,538,628,5.159
63º,Chevrolet Equinox,327,367,217,124,276,575,737,726,723,476,174,90,4.812
64º,CAOA Chery Tiggo 2,476,443,403,51,92,431,571,448,402,437,383,622,4.759
65º,Peugeot 2008,576,514,316,59,115,344,522,537,523,396,268,432,4.602
66º,Peugeot 208,208,212,199,55,68,175,223,165,412,494,1.099,1.093,4.403
67º,Hyundai HR,396,429,379,159,216,368,492,443,416,167,293,395,4.153
68º,Mercedes-Benz Sprinter,395,253,171,107,191,442,421,307,334,300,391,489,3.801
69º,Fiat Ducato,368,405,412,299,237,340,427,338,295,272,133,197,3.723
70º,Fiat Doblò,355,351,378,127,73,119,207,292,247,383,399,411,3.342
71º,Iveco Daily,232,274,250,37,52,296,382,443,450,314,271,268,3.269
72º,Nissan March,538,611,388,104,91,208,268,394,230,169,149,82,3.232
73º,Toyota RAV4,593,452,280,24,82,174,214,275,321,334,287,186,3.222
74º,Chevrolet Cruze Sport6,755,331,167,73,166,394,387,247,177,166,146,173,3.182
75º,BMW X1,201,249,223,52,97,281,410,350,316,289,361,339,3.168
76º,Volkswagen Delivery Express,231,289,245,59,77,396,438,,310,338,334,313,3.030
77º,Volvo XC60,227,237,190,104,86,248,281,204,291,417,337,329,2.951
78º,Volvo XC40,234,233,188,66,102,221,243,283,280,273,421,325,2.869
79º,Chevrolet TrailBlazer,164,112,100,106,123,396,557,264,254,249,94,404,2.823
80º,CAOA Chery Tiggo 7,181,290,245,116,131,58,129,133,321,224,383,384,2.595
,,,,,,,,,,,,,,
81º,Hyundai ix35,328,269,324,60,59,143,415,152,261,133,168,271,2.583
82º,Mitsubishi Eclipse Cross,191,178,219,69,86,166,175,218,352,379,285,226,2.544
83º,Kia Bongo,221,229,197,61,65,177,299,349,292,282,172,116,2.460
84º,Hyundai New Tucson,181,215,163,41,76,234,269,199,233,164,176,309,2.260
85º,Mercedes-Benz Classe C,198,353,217,43,66,230,129,79,114,180,203,381,2.193
86º,Audi Q3,42,360,115,24,64,171,166,221,307,301,220,169,2.160
87º,Nissan V-Drive,,,,,,,,10,378,580,508,638,2.114
88º,Peugeot Expert,202,181,143,48,50,143,172,182,174,208,197,250,1.950
89º,Mitsubishi Outlander,112,85,66,22,66,83,186,266,200,270,281,268,1.905
90º,Audi A3 Sedan,189,175,101,32,46,137,166,207,242,260,193,118,1.866
91º,Mitsubishi Pajero Sport,100,100,100,40,55,149,200,170,200,200,230,260,1.804
92º,Land Rover Discovery Sport,242,230,150,46,39,165,139,132,70,142,154,138,1.647
93º,Kia Sportage,229,208,159,34,61,114,146,136,149,150,119,120,1.625
94º,CAOA Chery Tiggo 8,,,,,,,,130,330,172,339,649,1.620
95º,Citroën Jumpy,195,176,162,37,58,106,95,121,140,166,141,181,1.578
96º,Ford Territory,,,,,,,,248,370,332,273,289,1.512
97º,RAM 2500,284,86,15,64,124,230,105,40,22,29,194,283,1.476
98º,Mercedes-Benz Classe A,170,49,139,56,58,126,137,194,173,154,99,61,1.416
99º,Troller T4,113,115,73,19,40,28,74,92,198,219,188,142,1.301
100º,Audi Q5,52,112,68,38,58,172,134,98,126,142,99,174,1.273
,,,,,,,,,,,,,,
101º,Kia Cerato,78,87,60,21,28,64,89,99,160,188,219,154,1.247
102º,Mercedes-Benz GLA,133,182,115,25,30,160,216,124,122,60,39,23,1.229
103º,CAOA Chery Arrizo 6,,,,,,2,111,190,228,204,220,257,1.212
104º,Mitsubishi ASX,211,180,157,30,38,120,135,83,65,44,47,50,1.160
105º,Peugeot 3008,147,128,122,20,36,86,96,121,81,91,80,122,1.130
106º,CAOA Chery Arrizo 5,127,151,85,19,15,92,87,68,109,79,105,173,1.110
107º,Suzuki Jimny,102,104,76,55,45,86,118,128,112,112,83,72,1.093
108º,Chevrolet Prisma,470,321,57,11,13,35,26,37,13,19,20,9,1.031
109º,Land Rover Range Rover Evoque,86,108,125,36,61,197,185,86,65,34,10,5,998
110º,Citroën C3,125,166,96,15,29,67,83,133,95,75,58,26,968
111º,Nissan Sentra,195,151,123,26,31,78,99,121,87,21,12,7,951
112º,Volvo XC90,44,82,50,26,24,69,91,72,112,85,126,104,885
113º,Peugeot Partner,95,130,75,14,37,28,115,65,59,27,204,27,876
114º,Volvo S60,29,76,25,7,6,38,57,64,78,136,126,150,792
115º,Suzuki Jimny Sierra,72,84,57,10,30,55,98,85,84,92,53,67,787
116º,Mercedes-Benz GLC,111,79,50,25,39,106,87,87,82,59,27,9,761
117º,Porsche 911,73,98,91,45,61,126,60,43,55,27,60,16,755
118º,BMW X3,77,62,42,16,29,79,70,67,107,79,35,80,743
119º,Citroën Aircross,102,74,57,11,18,40,75,92,82,46,38,44,679
120º,Porsche Cayenne,60,81,54,19,34,100,49,46,76,106,16,5,646
,,,,,,,,,,,,,,
121º,Mini Hatch 3 portas,51,60,62,15,23,63,61,58,63,51,52,50,609
122º,BMW X5,36,43,48,33,40,69,52,33,26,23,59,134,596
123º,Suzuki Vitara,61,55,41,13,20,23,50,48,71,69,70,73,594
124º,Land Rover Range Rover Sport,50,93,69,20,35,79,106,55,21,7,9,31,575
125º,Jaguar E-Pace,65,79,60,15,9,62,82,68,69,31,17,8,565
126º,BMW X4,56,47,19,5,15,45,69,66,49,46,64,81,562
127º,Land Rover Discovery,63,63,47,15,13,82,95,65,56,24,20,10,553
128º,Chevrolet Cobalt,282,123,18,4,4,18,23,20,13,12,10,10,537
129º,Porsche Macan,41,33,23,13,29,85,65,94,51,10,39,16,499
130º,Land Rover Range Rover Velar,57,52,48,20,18,46,79,44,42,24,17,29,476
131º,BMW X2,69,63,46,10,22,46,61,75,43,19,5,3,462
132º,Audi A3,10,25,10,8,9,24,33,58,65,84,71,49,446
133º,Mini Countryman,36,28,29,9,13,50,46,34,36,41,59,54,435
134º,Citroën C4 Lounge,74,25,12,102,14,6,20,11,8,45,22,91,430
135º,Honda CR-V,71,70,62,17,30,50,52,19,10,4,2,3,390
136º,Kia Rio,42,32,33,13,6,25,21,39,23,40,47,49,370
