Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Fiat Strada,7.000,6.837,9.935,8.051,9.716,9.007,10.387,,,,,,60.933
2º,Chevrolet Onix,7.162,6.084,8.283,7.376,6.947,8.261,10.260,,,,,,54.373
3º,Volkswagen Polo,2.115,3.762,8.197,6.063,7.636,9.949,16.471,,,,,,54.193
4º,Hyundai HB20,4.840,2.992,8.363,7.143,4.245,6.420,12.126,,,,,,46.129
5º,Chevrolet Onix Plus,6.164,5.125,7.104,5.295,5.624,6.419,6.412,,,,,,42.143
6º,Volkswagen T-Cross,4.454,4.294,5.420,4.592,6.012,7.264,8.553,,,,,,40.589
7º,Fiat Argo,4.282,4.536,6.171,5.475,4.710,6.747,7.159,,,,,,39.080
8º,Fiat Mobi,4.208,4.074,6.384,4.686,4.196,6.895,8.582,,,,,,39.025
9º,Hyundai Creta,4.969,4.606,5.851,4.660,5.268,4.597,5.314,,,,,,35.265
10º,Jeep Compass,4.139,4.430,6.988,4.898,5.560,4.338,4.707,,,,,,35.060
11º,Chevrolet Tracker,5.296,3.772,5.431,4.078,5.435,4.957,5.438,,,,,,34.407
12º,Renault Kwid,3.307,3.827,6.704,4.152,2.725,5.933,6.602,,,,,,33.250
13º,Fiat Toro,3.281,3.191,5.607,3.812,4.986,4.411,4.132,,,,,,29.420
14º,Jeep Renegade,3.049,3.019,4.674,3.219,4.279,4.083,5.556,,,,,,27.879
15º,Volkswagen Nivus,3.100,2.774,3.210,3.702,4.340,3.751,6.498,,,,,,27.375
16º,Nissan Kicks,2.984,3.495,4.844,3.055,4.212,3.473,4.752,,,,,,26.815
17º,Toyota Hilux,3.435,2.815,4.362,3.199,3.986,3.732,4.354,,,,,,25.883
18º,Honda HR-V,698,1.709,4.063,4.688,4.578,4.810,4.983,,,,,,25.529
19º,Fiat Pulse,3.015,2.761,4.276,3.504,3.490,4.401,3.994,,,,,,25.441
20º,Toyota Corolla Cross,2.604,3.334,4.511,3.946,3.731,3.357,3.630,,,,,,25.113
,,,,,,,,,,,,,,
