Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Volkswagen Gol,17.876,21.070,27.899,22.602,23.725,29.311,27.507,25.354,30.822,27.779,23.037,26.069,303.051
2º,Fiat Palio,10.765,12.753,19.703,16.297,16.610,20.769,18.651,17.181,19.195,18.190,16.664,16.958,203.736
3º,Fiat Uno,11.697,11.094,14.963,13.809,14.381,16.284,16.173,13.964,15.290,14.550,12.791,13.503,168.499
4º,Chevrolet Celta,7.588,9.306,11.370,9.762,10.551,12.915,14.605,12.781,15.218,13.222,10.519,11.583,139.420
5º,Chevrolet Corsa Sedan,10.835,8.788,10.474,9.187,10.781,15.600,14.752,12.741,15.593,12.156,7.944,9.159,138.010
6º,Fiat Siena,5.747,4.825,7.412,9.254,9.594,10.582,11.457,10.689,12.700,12.063,9.952,11.783,116.058
7º,Volkswagen Fox,5.118,6.890,10.817,9.437,10.811,11.125,10.687,8.843,9.266,7.371,8.166,8.504,107.035
8º,Fiat Strada,4.686,6.078,8.102,7.008,7.674,8.084,8.276,7.415,7.592,8.145,7.929,8.990,89.979
9º,Volkswagen Voyage,3.769,5.024,7.402,6.904,7.071,8.832,8.559,7.989,9.092,7.927,6.144,6.969,85.682
10º,Ford Ka,5.336,5.652,6.964,6.435,6.527,7.706,7.502,7.887,8.925,8.440,5.690,6.893,83.957
11º,Ford Fiesta,5.515,5.151,7.341,6.092,5.391,8.483,5.560,4.625,6.287,5.737,5.127,7.708,73.017
12º,Chevrolet Prisma,3.557,2.829,5.972,4.698,5.592,7.144,5.691,5.233,6.686,5.773,4.261,5.026,62.462
13º,Toyota Corolla,2.330,3.374,5.093,4.201,4.313,5.088,4.555,3.668,5.402,5.208,4.359,7.008,54.599
14º,Honda Civic,5.124,3.437,4.865,4.199,4.451,6.291,4.273,3.386,4.293,3.425,2.373,4.083,50.200
15º,Renault Sandero,3.114,2.598,3.182,2.977,3.555,5.263,4.667,4.522,4.890,5.283,4.059,5.271,49.381
16º,Honda Fit,3.300,3.400,4.759,4.645,3.879,5.169,4.138,4.629,5.193,3.640,2.739,3.171,48.662
17º,Ford EcoSport,3.446,3.437,5.153,3.629,2.779,3.582,3.074,3.292,4.788,4.128,2.993,3.276,43.577
18º,Fiat Weekend,3.623,3.684,4.814,3.450,3.297,3.647,3.367,2.715,3.906,3.629,3.141,3.976,43.249
19º,Ford Fiesta Sedan,3.309,3.213,4.225,3.644,3.305,4.770,3.225,2.531,3.780,3.493,2.413,4.053,41.961
20º,Chevrolet S10,2.282,2.517,2.981,2.449,2.795,3.715,3.915,3.562,3.902,3.802,3.550,3.876,39.346
,,,,,,,,,,,,,,
21º,Chevrolet Corsa,3.356,2.486,4.215,2.466,2.536,3.410,2.914,2.548,3.780,3.354,2.274,2.276,35.615
22º,Chevrolet Montana,811,2.226,2.941,2.334,2.506,3.263,3.501,3.106,3.440,3.334,2.996,3.562,34.020
