Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Volkswagen Gol,15.893,17.986,29.342,22.175,24.236,22.179,25.423,25.855,25.338,25.858,29.697,29.632,293.614
2º,Fiat Uno,9.924,10.681,16.013,13.082,14.164,19.130,23.163,24.094,23.880,22.226,24.281,28.470,229.108
3º,Chevrolet Celta,10.018,8.920,19.944,11.545,9.404,10.950,13.915,13.330,14.011,12.743,14.016,16.297,155.093
4º,Chevrolet Corsa Sedan,7.155,6.669,12.332,10.492,11.377,10.891,12.099,13.447,13.948,13.563,13.553,15.844,141.370
5º,Fiat Palio,10.599,10.671,18.365,13.381,10.448,10.061,11.302,10.519,9.509,9.497,11.867,11.234,137.453
6º,Volkswagen Fox,7.138,8.218,13.385,10.606,8.835,10.043,11.049,11.488,11.094,9.720,10.244,12.576,124.396
7º,Fiat Siena,8.971,9.145,12.913,10.817,8.441,9.491,12.253,9.328,8.605,8.208,10.063,12.168,120.403
8º,Fiat Strada,6.504,7.564,10.180,9.037,9.104,9.320,10.194,10.945,10.660,10.782,10.602,11.927,116.819
9º,Ford Fiesta,5.610,6.028,10.907,6.948,4.401,6.034,7.440,9.726,9.280,8.418,9.724,10.956,95.472
10º,Ford Ka,6.405,7.372,10.112,7.636,5.309,5.590,7.392,6.683,5.854,7.306,7.378,7.826,84.863
11º,Volkswagen Voyage,4.118,5.462,8.338,6.473,5.947,5.241,7.409,7.573,7.422,7.805,8.121,8.758,82.667
12º,Renault Sandero,3.727,4.339,7.642,5.292,3.406,3.856,5.518,7.048,6.940,6.534,6.942,7.568,68.812
13º,Chevrolet Agile,5.664,5.205,4.794,4.084,4.428,4.775,5.289,5.032,5.609,6.404,7.578,8.841,67.703
14º,Chevrolet Prisma,4.557,4.551,7.981,5.340,4.455,4.726,5.402,4.719,5.121,4.800,5.574,5.849,63.075
15º,Volkswagen Saveiro,3.380,3.451,5.095,5.137,5.649,5.223,5.649,5.450,5.281,5.676,6.249,5.950,62.190
16º,Toyota Corolla,3.243,3.718,5.761,4.790,4.329,4.355,4.397,4.515,4.669,4.710,4.575,5.925,54.987
17º,Chevrolet S10,3.340,3.060,3.837,3.209,3.538,4.105,3.771,2.876,3.606,3.823,3.833,4.189,43.187
18º,Ford EcoSport,2.723,3.062,5.028,3.721,2.716,3.614,3.458,3.044,2.939,3.929,4.225,4.571,43.030
19º,Honda Fit,2.485,3.619,5.950,2.485,1.865,2.651,3.443,3.188,3.305,3.295,3.154,5.496,40.936
20º,Citroën C3,1.786,2.300,3.949,4.170,3.145,2.322,3.359,3.714,3.737,3.771,3.504,4.161,39.918
,,,,,,,,,,,,,,
21º,Peugeot 207,2.267,2.606,3.780,2.637,2.301,2.775,3.808,4.331,3.578,3.462,4.181,4.111,39.837
22º,Ford Fiesta Sedan,2.834,3.177,4.974,3.127,2.014,2.778,3.374,3.458,3.356,3.332,3.374,3.803,39.601
23º,Renault Logan,1.574,1.759,2.817,2.677,2.244,2.876,3.714,3.796,3.457,3.464,3.681,4.645,36.704
24º,Chevrolet Montana,2.886,3.080,3.729,3.372,3.118,3.116,3.130,2.903,2.825,2.070,2.188,4.245,36.662
25º,Hyundai i30,2.438,2.508,4.011,3.231,2.617,2.296,2.439,2.814,3.046,3.009,3.547,3.966,35.922
26º,Fiat Punto,2.053,2.510,3.690,3.051,3.174,2.405,2.811,3.495,3.307,2.887,2.976,3.361,35.720
27º,Honda City,2.593,1.647,3.112,2.851,2.929,3.092,2.799,2.635,2.265,3.104,3.853,4.248,35.128
28º,Chevrolet Corsa,2.069,2.285,3.853,2.711,1.745,1.677,1.842,3.316,3.652,2.874,2.977,5.037,34.038
29º,Toyota Hilux,2.299,1.897,3.231,2.608,2.636,2.633,2.948,2.640,2.718,3.004,3.075,3.967,33.656
30º,Fiat Weekend,2.236,2.464,3.925,3.069,2.490,2.664,2.759,2.689,2.442,2.214,1.935,2.846,31.733
31º,Honda Civic,1.809,2.259,4.112,2.416,2.461,2.347,1.995,2.471,2.435,2.211,3.021,3.393,30.930
32º,Renault Clio,1.253,1.854,3.743,2.587,958,1.071,2.268,3.514,3.240,2.890,3.133,3.553,30.064
33º,Chevrolet Astra,2.020,2.179,3.802,2.570,1.815,1.818,2.086,2.563,2.576,2.460,2.513,2.642,29.044
34º,Hyundai Tucson,2.429,2.464,3.604,3.320,3.008,2.258,2.096,2.038,1.847,1.457,1.569,1.952,28.042
35º,Volkswagen Kombi,1.887,1.965,3.212,2.409,2.092,2.225,2.406,2.533,1.682,1.894,1.999,1.861,26.165
36º,Fiat Idea,1.484,1.754,2.705,1.821,1.970,1.791,1.877,2.557,2.735,2.138,2.643,2.345,25.820
37º,Ford Focus,1.301,1.105,1.262,2.310,1.889,2.308,2.484,2.275,1.791,2.505,2.633,3.488,25.351
