Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Chevrolet Onix,18.842,18.392,18.279,19.619,22.279,19.500,20.071,21.377,21.044,21.198,19.186,21.442,241.229
2º,Ford Ka,8.022,7.633,8.341,8.772,9.484,8.398,9.076,9.140,7.891,9.691,8.968,8.922,104.338
3º,Hyundai HB20,7.249,8.055,9.051,10.386,10.111,8.147,9.205,8.187,7.145,8.332,8.050,7.679,101.597
4º,Renault Kwid,5.336,5.473,5.853,7.319,8.661,7.882,8.069,7.455,8.826,6.066,6.009,8.174,85.123
5º,Volkswagen Gol,4.966,4.565,6.620,7.180,8.317,6.656,7.275,7.848,6.850,6.570,6.573,7.870,81.290
6º,Fiat Argo,4.920,6.674,4.643,6.839,5.599,7.539,6.610,6.560,5.730,7.586,8.270,8.036,79.006
7º,Fiat Strada,4.790,6.553,5.286,6.128,7.136,6.417,7.025,6.725,6.573,6.958,6.412,6.276,76.279
8º,Chevrolet Prisma,6.924,6.499,7.122,6.726,7.509,6.069,8.377,7.251,8.946,4.259,2.744,1.304,73.730
9º,Volkswagen Polo,5.433,4.813,5.082,5.073,6.199,5.428,6.199,6.815,6.282,7.245,7.168,6.331,72.068
10º,Jeep Renegade,4.783,4.706,6.184,5.714,5.754,5.911,5.790,5.188,6.089,6.680,6.233,5.705,68.737
11º,Fiat Toro,4.033,3.361,4.955,5.478,5.853,4.923,6.212,5.382,5.697,6.914,6.280,6.493,65.581
12º,Jeep Compass,4.109,4.371,4.476,4.930,5.071,5.080,6.171,4.843,4.554,5.727,5.200,5.839,60.371
13º,Hyundai Creta,3.236,3.984,3.792,4.387,4.212,4.638,5.307,6.643,4.713,5.324,4.610,6.625,57.471
14º,Toyota Corolla,4.075,3.358,3.890,4.667,5.182,4.915,5.936,4.621,4.077,6.211,4.560,5.220,56.712
15º,Nissan Kicks,3.486,4.137,4.864,4.121,4.520,4.703,5.299,3.887,4.497,5.550,5.035,5.971,56.070
16º,Fiat Mobi,4.413,4.885,3.099,4.179,5.160,4.639,4.702,5.418,4.377,4.569,3.775,4.228,53.444
17º,Ford Ka Sedan,2.685,3.018,3.319,5.610,4.200,4.055,4.572,4.593,4.450,5.083,5.159,4.518,51.262
18º,Renault Sandero,3.650,3.604,4.334,3.917,3.834,3.007,2.954,5.347,5.355,4.288,4.388,5.608,50.286
