Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Chevrolet Onix,13.900,11.980,14.745,12.689,15.007,14.923,15.234,18.513,17.236,18.322,18.611,17.508,188.668
2º,Hyundai HB20,7.362,6.521,10.638,7.934,8.981,9.715,9.312,10.376,8.530,8.878,8.527,8.770,105.544
3º,Ford Ka,7.079,5.765,8.021,6.650,9.326,7.812,7.248,7.631,8.727,9.689,9.067,7.881,94.896
4º,Volkswagen Gol,5.073,4.564,6.311,5.515,8.220,6.529,6.236,6.824,6.026,6.280,6.290,6.054,73.922
5º,Chevrolet Prisma,4.064,3.368,5.706,4.619,6.811,6.635,6.300,7.412,6.123,6.203,6.014,5.737,68.992
6º,Renault Sandero,4.277,4.181,6.516,6.110,8.699,9.087,6.663,6.064,3.967,4.081,3.794,3.913,67.352
7º,Toyota Corolla,4.014,3.469,5.455,4.969,5.553,5.734,6.250,6.679,6.036,5.934,5.537,6.568,66.198
8º,Fiat Strada,4.412,3.289,4.570,3.122,4.612,4.024,3.526,5.108,4.621,5.392,5.295,6.903,54.874
9º,Fiat Mobi,3.169,3.049,3.902,3.642,5.294,6.562,4.315,5.363,3.602,5.407,5.167,4.799,54.271
10º,Fiat Toro,3.258,3.582,4.400,3.470,4.401,5.579,5.028,4.793,3.918,4.122,3.950,4.229,50.730
11º,Jeep Compass,3.093,2.719,3.985,3.940,4.450,3.820,4.151,4.195,4.177,4.963,4.582,5.121,49.196
12º,Honda HR-V,3.268,3.594,4.317,3.576,4.408,4.058,3.511,4.419,3.780,4.488,4.095,4.267,47.781
13º,Volkswagen Saveiro,2.916,2.992,3.591,2.895,3.999,3.633,3.816,4.089,3.292,4.335,3.614,3.275,42.447
14º,Toyota Etios,3.018,2.656,4.055,3.271,3.997,3.652,3.542,4.034,2.831,3.805,3.361,3.769,41.991
15º,Hyundai Creta,1.182,2.331,3.487,3.056,3.751,3.518,3.169,4.379,3.466,4.027,4.164,5.099,41.629
16º,Volkswagen Voyage,2.181,2.442,4.446,2.934,3.117,3.293,3.661,4.063,3.823,3.964,4.089,2.809,40.822
17º,Volkswagen Fox,3.273,2.943,3.534,2.644,3.221,3.524,3.456,5.013,4.782,3.055,2.350,2.575,40.370
18º,Jeep Renegade,2.731,2.952,3.511,2.745,2.869,2.994,3.176,4.576,3.009,3.017,3.423,3.345,38.348
19º,Toyota Hilux,2.545,2.034,2.827,2.515,3.150,2.832,3.065,2.923,2.694,2.662,3.112,4.019,34.378
20º,Fiat Uno,2.045,2.108,3.367,2.782,5.482,4.414,3.355,3.539,3.194,1.481,1.179,1.386,34.332
,,,,,,,,,,,,,,
21º,Volkswagen up!,2.755,2.666,3.383,2.673,3.531,3.213,2.699,3.123,2.560,2.332,2.496,2.733,34.164
22º,Nissan Kicks,1.973,2.086,3.501,1.578,1.621,2.007,2.473,3.469,3.448,3.556,4.041,3.713,33.466
23º,Hyundai HB20S,2.646,2.105,2.692,2.168,2.786,2.466,2.409,3.020,2.796,2.831,3.392,2.922,32.233
24º,Toyota Etios Sedã,2.063,2.054,2.971,2.580,2.509,2.461,2.589,3.187,2.381,2.769,2.841,2.991,31.396
25º,Ford EcoSport,1.661,1.734,2.217,2.206,3.096,3.268,1.464,2.726,3.159,3.254,3.217,3.193,31.195
26º,Chevrolet S10,2.180,1.664,2.034,2.189,2.721,3.013,2.673,2.887,2.866,2.690,2.536,2.996,30.449
27º,Fiat Argo,,,,,88,1.643,3.235,4.075,4.124,4.159,5.015,5.590,27.929
28º,Ford Ka Sedan,1.284,1.128,2.740,2.305,2.521,2.499,2.220,2.852,2.625,2.480,2.768,2.234,27.656
29º,Renault Logan,1.502,1.427,1.892,1.779,2.054,2.262,2.184,3.269,3.191,2.124,1.731,2.603,26.018
30º,Honda Civic,2.029,2.429,2.979,2.394,2.608,2.260,1.659,1.993,1.901,1.916,1.858,1.851,25.877
31º,Honda Fit,2.271,2.101,2.432,1.846,2.068,1.985,1.772,1.820,1.158,2.505,2.700,2.694,25.352
32º,Fiat Grand Siena,2.007,2.015,2.631,1.996,2.512,1.989,1.847,2.389,1.948,2.004,1.908,1.713,24.959
33º,Chevrolet Spin,2.061,1.529,2.052,1.518,1.961,2.081,2.070,2.089,2.340,2.163,2.478,2.374,24.716
34º,Nissan Versa,1.461,964,1.903,1.178,1.699,1.908,1.334,1.862,2.441,2.570,3.661,2.389,23.370
35º,Chevrolet Cobalt,1.633,1.745,2.139,1.758,2.310,1.902,1.756,2.005,1.801,1.693,2.161,2.046,22.949
36º,Renault Kwid,,,,1,2,36,317,2.890,10.358,3.926,2.231,2.818,22.579
37º,Fiat Palio,3.171,3.082,2.836,1.759,1.285,1.670,1.468,2.207,1.353,801,321,188,20.141
38º,Chevrolet Cruze,1.073,892,1.645,1.721,1.811,1.650,1.894,1.948,1.650,1.670,1.639,1.601,19.194
39º,Ford Fiesta,1.422,1.293,1.653,1.174,1.301,1.587,2.146,2.040,1.526,1.523,1.716,1.677,19.058
40º,Renault Duster,1.469,1.686,2.090,1.900,1.574,944,727,1.477,943,1.297,1.754,1.930,17.791
