Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Chevrolet Onix,16.058,12.797,12.918,16.617,15.015,16.218,16.856,21.763,17.981,22.324,22.277,19.642,210.466
2º,Hyundai HB20,7.436,7.364,9.217,9.606,8.513,8.292,9.124,10.589,8.626,9.361,8.395,8.995,105.518
3º,Ford Ka,7.656,6.570,9.803,8.764,7.639,7.833,9.558,10.118,8.680,10.461,8.834,8.534,104.450
4º,Volkswagen Gol,5.893,4.491,5.877,5.449,5.780,5.029,6.631,6.628,6.765,8.973,8.836,7.272,77.624
5º,Chevrolet Prisma,5.926,3.841,6.616,6.635,5.022,3.977,5.016,6.119,6.532,7.716,7.598,6.742,71.740
6º,Volkswagen Polo,6.632,4.942,6.149,5.818,5.628,4.974,5.828,6.544,5.318,6.090,5.644,6.030,69.597
7º,Renault Kwid,2.729,4.506,6.454,6.616,4.371,5.004,5.203,6.273,5.486,5.940,7.091,7.653,67.326
8º,Fiat Strada,5.372,4.137,5.595,6.357,5.581,5.474,5.765,6.119,4.696,7.199,5.158,5.780,67.233
9º,Fiat Argo,4.972,3.546,4.349,4.952,4.682,5.485,5.476,6.166,6.395,6.881,6.078,4.035,63.017
10º,Jeep Compass,4.546,3.786,4.647,4.606,5.559,5.054,5.360,5.800,5.006,6.163,5.008,4.762,60.297
11º,Toyota Corolla,4.486,3.869,5.395,5.664,4.854,4.288,4.364,5.238,4.774,5.928,5.023,5.182,59.065
12º,Fiat Toro,3.893,3.052,3.493,5.141,4.983,5.500,6.226,6.172,4.575,5.659,3.922,5.863,58.479
13º,Renault Sandero,2.666,2.664,4.105,5.814,3.706,6.139,4.251,3.868,4.577,6.060,5.110,3.446,52.406
14º,Fiat Mobi,4.679,3.327,4.335,4.204,4.023,4.435,3.498,4.874,3.537,4.997,4.258,3.332,49.499
15º,Hyundai Creta,2.875,3.070,3.671,3.785,3.841,2.913,4.238,5.277,4.195,5.026,5.171,4.920,48.982
16º,Honda HR-V,3.874,3.600,5.358,3.522,3.656,3.139,3.444,5.021,3.972,5.352,3.305,3.719,47.962
17º,Nissan Kicks,3.331,3.457,5.532,3.701,3.189,2.629,3.157,4.792,4.000,4.663,4.040,4.328,46.819
18º,Jeep Renegade,2.514,2.200,4.252,4.462,4.378,3.628,4.034,4.465,3.386,3.693,3.845,5.498,46.355
19º,Volkswagen Saveiro,3.156,2.957,3.671,4.490,4.179,3.745,3.635,4.237,4.334,4.083,3.516,3.922,45.925
20º,Volkswagen Virtus,86,1.455,3.059,3.862,4.271,4.205,4.173,4.650,3.524,4.159,3.955,4.241,41.640
,,,,,,,,,,,,,,
21º,Toyota Hilux,2.934,2.152,3.223,3.221,2.967,2.974,3.080,3.542,3.282,4.027,3.382,4.529,39.313
22º,Volkswagen Fox,3.096,2.576,3.337,3.286,3.133,3.260,3.127,3.892,2.917,3.791,3.329,3.469,39.213
23º,Ford Ka Sedan,1.959,2.192,3.069,3.525,2.923,3.269,3.050,3.026,3.282,4.319,3.695,3.560,37.869
24º,Ford EcoSport,2.328,1.899,2.796,2.932,3.272,2.761,3.107,3.034,2.888,3.167,2.994,3.320,34.498
25º,Volkswagen Voyage,2.598,2.095,2.797,2.825,2.323,2.644,2.809,2.562,2.828,4.256,2.269,2.677,32.683
26º,Hyundai HB20S,2.652,2.454,2.509,2.651,2.512,2.669,2.881,3.188,2.451,2.932,2.543,2.717,32.159
27º,Chevrolet S10,2.681,2.014,2.334,2.418,3.020,3.019,2.630,2.645,2.450,2.794,2.749,3.009,31.763
28º,Fiat Cronos,34,44,1.579,3.382,3.148,2.999,3.284,4.026,3.062,2.720,2.384,2.649,29.311
29º,Nissan Versa,1.684,1.253,2.609,2.124,2.543,2.696,2.685,2.496,2.462,2.302,2.382,2.759,27.995
30º,Toyota Etios,3.317,2.729,3.229,3.968,3.361,2.908,1.790,1.445,1.165,1.248,1.241,1.449,27.850
31º,Honda Fit,2.882,2.340,2.612,2.266,1.994,1.740,1.975,2.050,1.869,2.861,2.441,2.332,27.362
32º,Renault Captur,1.608,973,1.367,1.684,1.698,2.013,2.616,3.062,2.329,3.239,2.554,3.363,26.506
33º,Chevrolet Tracker,2.344,1.821,2.486,2.562,2.215,2.014,2.430,2.360,1.674,2.094,2.049,2.053,26.102
34º,Honda Civic,977,1.893,2.784,2.764,2.560,2.166,2.084,2.329,1.914,2.298,2.202,1.974,25.945
35º,Chevrolet Spin,1.849,1.686,1.310,1.223,1.710,2.039,1.650,2.013,1.783,2.558,4.179,3.195,25.195
36º,Renault Duster,1.215,930,1.247,1.633,1.361,2.016,2.534,2.701,1.804,2.702,2.670,2.768,23.581
37º,Renault Logan,848,1.341,1.524,2.537,1.351,2.497,2.014,2.775,2.907,1.921,1.321,1.435,22.471
38º,Chevrolet Cobalt,1.356,1.219,1.238,1.284,1.579,1.634,2.367,2.189,1.994,2.094,2.059,2.477,21.490
