Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Volkswagen Gol,19.048,18.597,21.030,19.684,20.937,27.275,29.412,32.632,23.351,27.737,25.591,28.033,293.327
2º,Fiat Uno,17.718,18.341,23.109,16.241,17.459,25.852,28.226,30.373,20.252,21.370,18.611,18.260,255.812
3º,Fiat Palio,11.389,11.558,13.459,10.999,12.659,17.206,18.266,21.572,14.766,18.824,17.268,18.430,186.396
4º,Volkswagen Fox,8.295,9.176,11.062,9.307,9.279,15.506,17.054,19.852,12.100,13.191,10.110,11.970,146.902
5º,Chevrolet Celta,12.856,8.656,7.062,7.583,11.741,12.195,13.670,19.145,11.444,12.074,9.894,11.304,137.624
6º,Fiat Strada,6.828,8.622,10.492,8.590,9.868,8.378,10.400,12.981,9.517,11.643,9.806,10.339,117.464
7º,Ford Fiesta,6.881,8.260,10.813,8.631,9.384,13.211,12.952,13.460,8.139,7.790,7.290,8.440,115.251
8º,Fiat Siena,4.153,4.084,3.521,5.110,6.685,9.482,12.236,12.481,9.750,12.512,11.606,11.936,103.556
9º,Chevrolet Corsa Sedan,9.633,7.226,7.456,6.531,9.574,9.518,8.422,8.275,5.433,8.505,7.989,9.994,98.556
10º,Renault Sandero,5.846,6.024,8.244,6.828,6.986,10.595,9.614,11.743,7.866,9.429,6.963,8.315,98.453
11º,Volkswagen Voyage,6.404,6.639,7.957,5.864,6.801,9.128,8.900,9.699,7.049,9.710,8.483,9.769,96.403
12º,Chevrolet Cobalt,5.905,3.660,6.062,5.109,4.569,5.953,6.412,6.391,4.392,6.376,5.679,6.150,66.658
13º,Volkswagen Saveiro,5.250,4.613,5.574,5.136,5.455,4.725,6.445,6.593,5.368,5.966,5.063,6.265,66.453
14º,Ford Ka,4.047,3.703,4.239,3.153,3.827,7.321,4.124,4.567,4.970,6.274,4.918,5.792,56.935
15º,Toyota Corolla,3.626,3.677,4.840,4.416,4.123,5.518,5.634,4.620,3.973,5.097,4.728,6.117,56.369
16º,Chevrolet Agile,5.430,4.803,5.406,4.083,5.477,4.290,4.102,6.257,3.878,4.343,2.687,3.296,54.052
17º,Honda Civic,1.374,2.961,3.575,3.290,4.509,6.039,5.058,6.239,3.735,5.136,4.301,4.286,50.503
18º,Chevrolet Montana,3.252,2.485,4.509,3.597,4.663,4.261,4.747,5.401,4.155,4.214,3.452,3.744,48.480
19º,Chevrolet S10,2.162,1.401,2.735,3.393,3.362,4.732,4.759,5.468,4.096,5.214,4.545,5.854,47.721
20º,Renault Duster,2.031,1.983,2.707,2.885,3.333,5.170,4.185,5.049,3.474,4.871,4.685,6.524,46.897
,,,,,,,,,,,,,,
21º,Ford Fiesta Sedan,3.709,3.555,4.259,3.782,3.820,5.089,5.330,5.738,2.639,2.700,2.439,2.744,45.804
22º,Fiat Punto,2.729,2.478,2.699,2.103,2.349,3.369,3.137,6.154,3.517,4.380,4.074,5.380,42.369
23º,Chevrolet Cruze,2.662,2.827,3.658,2.967,2.758,4.123,3.731,4.800,3.073,3.520,2.862,2.556,39.537
24º,Toyota Hilux,3.049,2.264,1.576,791,3.116,3.582,3.442,4.310,3.579,4.407,4.258,4.515,38.889
25º,Honda Fit,1.611,2.033,3.057,1.983,2.434,3.824,3.685,4.808,2.937,4.334,3.719,4.209,38.634
26º,Ford EcoSport,2.163,2.257,2.795,2.400,2.102,2.897,2.155,1.638,3.036,6.525,3.633,6.686,38.287
27º,Chevrolet Prisma,3.896,2.867,2.471,2.170,3.801,3.470,4.039,6.126,3.150,2.070,571,307,34.938
28º,Citroën C3,2.438,2.194,2.429,2.371,1.736,3.126,2.774,3.901,3.497,3.956,3.091,3.415,34.928
29º,Renault Logan,2.156,2.313,3.370,2.661,2.611,3.583,2.995,3.683,2.859,2.672,2.704,2.304,33.911
30º,Nissan March,2.554,2.664,4.598,3.255,3.428,5.121,3.842,2.400,268,123,2.046,2.853,33.152
31º,Honda City,766,1.123,1.884,2.170,2.084,3.407,3.332,4.076,2.500,3.251,2.569,3.752,30.914
32º,Peugeot 207,2.333,2.008,2.071,1.831,1.792,3.110,3.315,4.010,2.142,2.344,1.637,1.802,28.395
33º,Chevrolet Corsa,3.437,2.362,2.698,2.681,4.382,3.524,2.966,2.787,837,392,133,51,26.250
34º,Fiat Idea,1.466,1.647,1.976,1.619,1.739,2.583,2.801,3.501,2.034,2.782,2.080,2.017,26.245
35º,Volkswagen Kombi,1.822,1.709,2.411,2.012,2.068,2.451,2.533,2.724,2.337,2.265,1.907,1.954,26.193
36º,Ford Focus,1.472,1.198,1.526,1.731,1.570,2.977,2.816,2.781,1.712,1.630,1.776,2.830,24.019
37º,Hyundai HB20,,,,,,,,,,3.312,8.077,10.664,22.053
38º,Mitsubishi L200 Triton,1.879,1.409,1.581,1.305,1.568,1.727,2.149,2.303,1.750,1.898,1.800,2.161,21.530
39º,Volkswagen SpaceFox,1.577,1.453,1.590,1.582,1.309,1.460,1.927,2.624,1.810,2.224,1.862,1.700,21.118
40º,Hyundai Tucson,1.547,1.410,1.619,1.346,1.223,1.216,2.057,2.195,1.867,2.514,2.055,1.917,20.966
,,,,,,,,,,,,,,
