Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Fiat Strada,9.231,9.370,10.268,12.581,9.918,9.697,9.439,9.111,5.772,6.130,8.535,9.060,109.112
2º,Hyundai HB20,7.936,7.717,8.012,6.849,7.290,7.609,7.799,6.795,7.147,5.844,5.540,7.926,86.464
3º,Fiat Argo,5.021,6.221,4.995,5.383,10.929,9.382,10.873,7.711,4.911,8.381,6.340,4.509,84.656
4º,Jeep Renegade,7.091,5.834,6.186,6.634,7.361,7.504,6.855,6.710,4.503,6.723,4.233,4.293,73.927
5º,Chevrolet Onix,10.566,10.260,7.933,6.402,3.820,2.532,1.387,410,4.311,5.157,9.326,11.529,73.633
6º,Jeep Compass,5.029,4.634,5.211,5.504,6.135,6.046,6.670,6.819,6.823,6.097,5.287,6.668,70.923
7º,Fiat Toro,5.233,5.626,6.708,6.682,3.942,5.909,7.030,6.685,6.852,5.187,5.921,5.139,70.914
8º,Volkswagen Gol,6.277,5.847,6.891,6.420,6.795,4.742,1.805,4.082,3.141,5.039,6.866,8.329,66.234
9º,Fiat Mobi,4.784,6.015,6.725,6.861,7.443,7.529,8.059,7.538,4.574,2.945,638,2.744,65.855
10º,Hyundai Creta,4.067,4.826,6.173,5.544,6.983,5.902,4.268,4.822,4.550,5.492,6.099,6.038,64.764
11º,Volkswagen T-Cross,5.241,5.524,5.289,4.325,5.486,3.318,3.392,6.698,5.733,6.008,4.725,6.574,62.313
12º,Chevrolet Onix Plus,7.139,6.501,5.450,4.896,3.367,1.525,707,267,3.747,4.494,7.521,9.105,54.719
13º,Renault Kwid,3.896,4.905,5.094,4.358,4.852,6.083,4.865,3.764,1.963,2.655,3.712,6.775,52.922
14º,Chevrolet Tracker,4.593,5.042,6.410,5.377,4.718,990,244,1.293,3.936,4.151,6.073,7.936,50.763
15º,Toyota Hilux,3.301,2.663,3.233,3.373,3.132,3.535,4.576,4.363,4.396,3.814,4.103,5.408,45.897
16º,Toyota Corolla,2.224,2.817,4.109,3.418,3.790,3.544,3.925,4.354,2.280,3.014,3.505,4.922,41.902
17º,Honda HR-V,2.658,3.703,3.728,3.095,3.095,2.469,2.338,3.878,3.502,3.381,2.868,3.696,38.411
18º,Volkswagen Nivus,3.481,3.467,3.918,3.413,2.836,2.823,3.505,3.626,3.356,3.485,1.251,1.508,36.669
19º,Nissan Kicks,3.072,3.230,3.136,3.602,2.879,3.250,3.029,2.955,2.903,2.337,3.556,2.578,36.527
20º,Chevrolet S10,2.520,1.602,1.409,1.987,1.946,3.321,4.142,4.798,4.234,3.775,3.103,2.221,35.058
,,,,,,,,,,,,,,
21º,Toyota Corolla Cross,,,37,1.889,3.678,4.710,5.068,4.789,3.050,2.999,3.454,4.581,34.255
22º,Volkswagen Voyage,2.192,2.107,3.695,2.437,2.850,1.552,382,1.594,872,2.968,3.357,4.588,28.594
23º,Fiat Cronos,1.031,450,807,591,1.968,5.404,2.586,1.855,2.302,2.816,3.545,4.535,27.890
24º,Volkswagen Saveiro,2.497,2.523,2.910,2.253,2.457,2.932,1.409,1.561,1.389,2.174,2.096,2.554,26.755
25º,Hyundai HB20S,1.915,1.934,2.010,1.721,1.934,2.579,2.408,2.197,2.269,1.716,2.011,2.876,25.570
