Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Volkswagen Gol,22.338,15.715,19.228,21.581,19.955,22.541,22.123,22.621,22.060,21.722,20.363,24.808,255.055
2º,Fiat Uno,18.025,11.109,15.238,17.463,18.352,16.326,15.878,14.079,14.528,14.410,15.854,13.114,184.376
3º,Fiat Palio,17.358,13.131,14.042,16.654,15.474,14.088,16.719,15.168,12.896,13.316,13.866,14.319,177.031
4º,Ford Fiesta,7.615,5.750,9.239,8.440,11.395,12.995,14.375,13.541,11.992,13.265,12.642,16.298,137.547
5º,Fiat Siena,9.852,6.820,8.558,10.405,10.748,9.581,10.834,12.687,12.645,12.378,11.581,13.747,129.836
6º,Fiat Strada,10.204,8.220,9.003,11.746,11.083,11.770,10.899,11.661,11.223,8.830,6.954,11.320,122.913
7º,Hyundai HB20,9.030,10.179,12.537,12.118,9.620,8.408,10.428,9.538,8.671,10.468,10.067,11.318,122.382
8º,Chevrolet Onix,10.724,9.037,9.408,9.428,10.184,9.743,10.195,10.327,9.341,11.874,10.318,11.761,122.340
9º,Volkswagen Fox,11.244,7.758,8.824,10.300,9.025,12.080,9.243,8.973,8.419,9.156,8.226,10.460,113.708
10º,Renault Sandero,7.357,4.512,5.845,8.968,7.375,8.707,10.401,10.034,9.065,9.856,9.774,10.626,102.520
11º,Volkswagen Voyage,8.024,6.146,8.388,10.635,8.349,7.410,7.223,6.961,6.919,6.642,5.930,7.136,89.763
12º,Chevrolet Classic,8.479,4.581,6.197,7.358,7.882,9.194,10.973,7.496,5.587,6.268,5.670,7.261,86.946
13º,Chevrolet Celta,9.241,5.421,6.638,6.389,4.390,5.004,6.698,8.202,5.529,5.475,5.007,6.661,74.655
14º,Volkswagen Saveiro,5.925,4.990,6.390,5.073,5.105,6.576,6.883,5.841,6.806,6.786,5.629,6.371,72.375
15º,Ford EcoSport,6.367,4.324,4.496,6.397,5.829,5.622,6.639,5.965,5.537,5.725,4.104,5.098,66.103
16º,Chevrolet Prisma,131,197,4.264,5.176,5.537,5.779,6.132,6.751,5.393,6.618,6.945,8.383,61.306
17º,Honda Civic,1.337,3.977,4.866,5.636,5.193,5.181,5.009,5.636,5.247,7.159,5.639,6.095,60.975
18º,Chevrolet Cobalt,4.959,3.852,4.187,5.991,5.176,4.823,5.586,5.259,4.370,6.734,4.433,4.320,59.690
19º,Chevrolet S10,4.218,3.748,3.847,4.492,5.180,5.053,4.867,4.289,4.124,4.820,4.216,5.401,54.255
20º,Toyota Corolla,3.866,3.038,3.658,5.111,4.775,4.410,4.444,4.036,4.356,5.425,5.137,5.850,54.106
,,,,,,,,,,,,,,
21º,Renault Duster,3.695,1.232,2.282,4.050,3.737,4.134,4.786,4.538,4.842,5.554,5.159,6.215,50.224
22º,Chevrolet Montana,3.057,2.902,3.635,4.218,4.430,3.964,3.805,3.934,4.616,4.516,3.902,3.733,46.712
23º,Toyota Hilux,3.610,2.237,3.163,3.581,3.623,3.576,3.822,3.474,3.507,4.100,3.595,4.339,42.627
24º,Chevrolet Spin,3.024,2.456,2.943,3.502,3.369,3.513,4.109,3.896,3.243,4.487,3.677,3.766,41.985
25º,Honda Fit,2.935,3.009,3.478,3.737,3.276,4.233,4.694,2.921,2.161,3.028,3.119,4.051,40.642
26º,Fiat Punto,4.886,3.312,3.536,3.661,3.158,3.318,3.034,3.349,3.075,3.213,2.706,3.159,40.407
27º,Ford Fiesta Sedan,2.083,1.540,1.931,2.862,3.475,3.276,3.650,4.064,3.641,3.648,3.028,2.767,35.965
28º,Hyundai HB20S,,,,967,4.363,3.609,4.185,4.057,3.911,4.390,4.380,5.460,35.322
29º,Toyota Etios,2.034,2.218,2.798,3.698,2.905,2.799,3.744,3.569,3.174,2.417,2.426,3.021,34.803
30º,Citroën C3,3.213,2.651,3.084,3.117,2.513,2.481,2.297,2.509,2.872,3.206,2.465,3.264,33.672
31º,Chevrolet Agile,3.639,1.828,2.003,2.082,2.409,3.220,3.527,2.521,2.646,2.460,1.200,2.588,30.123
32º,Renault Clio,1.398,1.752,2.434,3.232,2.756,2.581,2.722,2.922,1.900,1.990,2.768,3.450,29.905
33º,Honda City,3.208,1.893,2.938,3.730,2.567,1.955,1.640,2.201,1.493,1.980,2.465,3.175,29.245
34º,Toyota Etios Sedã,1.424,1.710,2.180,3.072,2.588,2.312,2.833,2.784,2.324,1.835,1.913,2.262,27.237
35º,Chevrolet Cruze,1.671,1.552,2.008,2.233,2.007,2.130,2.705,3.095,2.803,2.356,1.715,2.255,26.530
36º,Ford Ka,4.640,3.174,2.833,2.994,1.864,1.542,1.689,1.422,1.241,1.510,1.469,1.877,26.255
37º,Volkswagen Kombi,1.975,1.657,1.758,1.800,1.866,1.869,2.287,2.197,2.599,2.130,2.383,2.700,25.221
38º,Nissan March,2.531,1.735,1.693,1.825,1.962,1.819,2.362,2.298,2.725,2.183,1.588,1.536,24.257
39º,Volkswagen Amarok,2.014,1.505,1.952,2.416,1.933,1.828,2.175,2.200,2.144,1.956,2.103,1.969,24.195
40º,Fiat Idea,1.986,1.358,2.000,2.383,2.018,2.091,2.263,1.714,1.667,2.003,2.019,1.949,23.451
,,,,,,,,,,,,,,
41º,Renault Logan,1.639,889,1.279,2.311,2.199,2.275,2.200,2.153,2.533,1.767,1.101,2.690,23.036
42º,Chevrolet Cruze Sport6,1.818,1.800,1.999,1.892,1.658,1.607,1.690,1.670,1.765,2.193,1.714,2.659,22.465
43º,Ford Ranger,2.172,1.615,1.434,1.520,1.370,1.091,2.032,2.421,2.343,2.004,1.963,2.112,22.077
44º,Mitsubishi L200 Triton,1.627,1.275,1.724,2.080,1.690,2.165,1.940,1.753,1.890,1.891,1.340,2.003,21.378
45º,Ford Focus,2.134,1.855,1.771,2.207,1.409,1.412,2.091,2.127,1.711,1.404,1.229,1.476,20.826
46º,Nissan Versa,2.000,1.463,1.540,1.840,1.650,1.424,2.343,2.141,1.695,1.151,1.613,1.870,20.730
47º,Peugeot 208,,43,164,1.659,2.610,2.392,2.435,2.537,2.064,2.336,1.862,2.613,20.715
48º,Volkswagen SpaceFox,1.435,912,865,1.345,1.204,1.036,1.243,1.519,1.896,1.856,1.885,1.129,16.325
49º,Volkswagen CrossFox,1.192,837,904,1.679,1.602,1.727,1.786,1.466,1.224,1.216,1.171,1.427,16.231
50º,Hyundai Tucson,1.761,1.303,1.250,1.368,1.362,1.082,1.030,1.079,1.536,1.559,1.316,1.567,16.213
51º,Nissan Frontier,1.395,822,1.239,1.424,1.247,1.198,1.443,1.376,1.585,1.445,1.173,1.249,15.596
52º,Fiat Weekend,1.629,752,1.111,1.108,1.438,1.105,1.549,1.220,1.447,1.174,1.470,1.551,15.554
53º,Volkswagen Jetta,1.873,940,544,622,1.475,1.128,1.251,1.539,1.352,1.487,1.086,1.053,14.350
54º,Renault Fluence,1.311,1.179,1.193,1.350,1.002,1.023,1.418,1.060,1.053,1.163,759,1.368,13.879
55º,Volkswagen Golf,1.235,1.026,999,927,848,637,802,659,743,1.830,2.034,2.047,13.787
56º,Fiat Ducato,908,871,872,876,734,808,1.052,1.249,1.439,1.510,1.185,1.242,12.746
57º,Fiat Fiorino,1.333,862,974,1.336,1.038,1.280,1.152,954,1.016,955,745,790,12.435
58º,Toyota SW4,914,739,984,1.061,1.094,1.135,1.077,852,755,1.225,1.163,1.355,12.354
59º,Peugeot 308,1.349,831,667,886,791,898,1.189,884,867,897,867,796,10.922
60º,Fiat Doblò,1.224,870,1.000,1.185,1.225,955,914,744,506,580,492,818,10.513
,,,,,,,,,,,,,,
61º,Peugeot 207,1.930,1.067,1.265,1.040,725,625,477,897,746,655,477,481,10.385
62º,Hyundai ix35,928,915,900,1.249,879,729,721,683,638,545,1.025,1.157,10.369
63º,Mitsubishi ASX,615,525,524,753,843,1.032,900,787,952,1.111,936,1.138,10.116
64º,Renault Master,905,790,689,722,660,1.002,1.014,778,757,921,838,929,10.005
