Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
1º,Volkswagen Gol,23.059,20.989,24.494,22.304,26.981,27.428,25.884,27.203,24.591,21.959,24.352,24.231,293.475
2º,Fiat Uno,16.913,21.470,23.137,22.179,24.264,25.431,24.929,24.947,22.169,20.849,23.001,24.263,273.552
3º,Chevrolet Celta,8.168,9.989,14.045,13.075,13.383,13.414,12.072,12.554,13.664,11.162,12.920,14.603,149.049
4º,Chevrolet Corsa Sedan,8.815,9.334,9.376,10.368,12.581,11.540,10.768,11.184,11.084,9.244,10.262,11.229,125.785
5º,Fiat Strada,7.428,10.047,10.559,9.872,10.233,10.542,11.298,11.237,9.646,8.668,9.867,9.221,118.618
6º,Fiat Palio,6.519,7.358,9.406,7.977,7.772,8.469,8.845,9.235,7.726,8.820,10.573,13.099,105.799
7º,Volkswagen Fox,9.355,10.742,9.841,7.455,7.545,4.345,7.333,9.688,8.558,8.080,9.421,10.469,102.832
8º,Ford Fiesta,6.549,6.994,9.392,9.599,8.499,8.321,7.639,7.034,6.328,5.676,8.895,8.902,93.828
9º,Fiat Siena,6.682,10.162,7.972,7.230,9.402,8.749,7.815,6.977,5.951,5.321,7.126,6.785,90.172
10º,Volkswagen Voyage,6.165,5.742,5.932,6.639,7.609,8.098,8.549,8.960,7.490,6.346,7.397,8.292,87.219
11º,Renault Sandero,3.529,5.171,5.566,6.670,5.447,5.999,8.689,8.693,8.721,7.848,8.067,7.382,81.782
12º,Chevrolet Agile,5.834,6.337,6.644,5.831,6.425,4.913,5.389,5.479,5.943,6.813,7.103,6.549,73.260
13º,Volkswagen Saveiro,4.738,5.531,6.596,5.097,7.126,6.259,5.841,6.753,5.771,5.372,5.854,6.280,71.218
14º,Ford Ka,4.639,5.379,6.161,5.331,5.471,5.450,6.314,6.002,5.081,3.999,4.586,5.345,63.758
15º,Toyota Corolla,3.457,4.016,4.288,4.131,4.581,4.130,3.887,3.733,4.755,4.743,5.174,6.261,53.156
16º,Chevrolet Prisma,2.913,3.620,5.494,5.093,4.615,4.489,3.809,4.107,3.812,3.735,4.674,4.703,51.064
17º,Chevrolet Montana,2.581,3.399,3.682,3.477,3.938,4.358,4.138,4.473,3.651,3.483,4.469,4.184,45.833
18º,Chevrolet S10,2.884,2.607,3.453,3.405,3.483,4.044,3.468,4.037,3.769,3.500,3.841,4.327,42.818
19º,Chevrolet Corsa,3.271,3.178,3.120,2.121,2.103,2.415,3.850,4.408,3.498,3.986,5.205,4.799,41.954
20º,Renault Logan,2.651,2.984,3.401,3.339,3.714,3.272,2.993,3.624,3.332,3.239,3.514,3.023,39.086
,,,,,,,,,,,,,,
21º,Ford EcoSport,2.712,2.941,3.355,4.290,3.930,4.102,3.193,3.458,2.692,2.243,2.756,2.859,38.531
22º,Ford Fiesta Sedan,1.985,2.694,3.684,2.948,3.591,3.123,2.693,2.951,4.139,3.264,4.122,2.881,38.075
23º,Citroën C3,2.923,2.927,3.316,2.873,3.764,3.996,3.205,3.581,3.043,2.236,2.630,3.082,37.576
24º,Peugeot 207,2.546,3.247,2.763,2.427,3.888,3.170,3.271,3.295,2.760,3.072,3.295,3.138,36.872
25º,Fiat Punto,1.838,2.306,2.830,2.779,3.185,3.037,3.366,3.708,3.667,2.947,3.295,3.428,36.386
26º,Hyundai i30,3.140,3.428,3.292,3.191,3.511,3.075,2.813,3.391,2.727,2.037,2.324,2.790,35.719
27º,Toyota Hilux,2.219,2.217,3.093,2.711,2.796,1.458,2.380,2.734,3.075,2.620,3.709,4.248,33.260
28º,Honda Fit,2.536,2.726,4.367,2.835,2.369,1.623,1.879,2.289,2.841,1.811,1.629,1.860,28.765
29º,Ford Focus,2.580,2.079,1.981,1.855,1.910,1.934,2.160,2.720,2.724,2.626,2.565,2.479,27.613
30º,Renault Clio,3.011,2.893,2.680,2.250,1.958,1.931,1.632,1.789,2.059,2.006,1.963,2.888,27.060
31º,Fiat Idea,1.361,1.606,2.240,2.001,2.585,2.524,2.135,2.388,2.404,2.239,2.548,2.025,26.056
32º,Volkswagen Kombi,1.670,1.929,2.005,1.905,2.396,2.230,2.184,2.381,2.127,2.091,2.112,1.776,24.806
33º,Honda City,2.228,2.995,2.836,2.875,2.428,1.590,1.816,1.929,1.513,1.349,1.414,1.671,24.644
34º,Honda Civic,1.913,2.145,2.165,2.338,2.162,1.643,1.838,2.523,2.683,1.482,1.547,523,22.962
35º,Fiat Weekend,1.330,2.082,2.207,1.941,1.995,2.125,2.290,1.916,1.646,1.455,1.647,2.219,22.853
36º,Chevrolet Meriva,1.203,1.788,2.219,1.748,1.897,1.771,1.810,2.159,1.681,1.766,2.057,2.154,22.253
37º,Mitsubishi L200 Triton,1.295,1.707,1.813,1.773,1.939,1.858,1.810,1.999,1.820,1.501,2.293,2.334,22.142
38º,Chevrolet Astra,1.506,1.591,2.254,1.949,1.970,2.058,2.579,3.064,2.402,1.143,655,385,21.556
39º,Kia Cerato,1.262,1.652,1.925,2.651,3.064,2.835,2.017,1.554,1.782,568,729,647,20.686
40º,Volkswagen SpaceFox,2.148,1.943,1.613,1.525,1.871,1.510,1.337,2.090,1.634,1.187,1.412,2.232,20.502
,,,,,,,,,,,,,,
41º,Peugeot 207 Passion,1.417,1.608,1.431,1.535,2.010,1.536,1.674,1.666,1.541,1.369,1.743,1.519,19.049
42º,Volkswagen CrossFox,2.053,2.414,2.053,1.504,1.688,739,1.557,1.694,1.263,1.098,1.242,1.457,18.762
43º,Fiat Fiorino,1.218,1.562,1.702,1.835,1.885,1.516,1.584,1.624,1.234,1.083,1.190,1.592,18.025
44º,Hyundai Tucson,1.164,1.089,1.473,1.395,1.467,1.395,1.561,1.725,1.588,1.327,1.660,2.180,18.024
45º,Kia Soul,1.123,1.445,1.515,2.131,1.806,1.419,1.332,1.758,2.061,1.203,1.007,1.126,17.926
46º,Citroën Aircross,1.199,1.518,1.864,1.571,1.518,1.508,1.159,1.184,1.347,1.186,1.253,1.410,16.717
47º,Honda CR-V,1.452,1.217,1.091,951,1.172,1.237,1.189,1.012,1.494,1.700,1.881,1.888,16.284
48º,Volkswagen Golf,1.447,1.470,1.508,1.259,1.284,658,1.214,1.381,1.350,1.096,1.390,1.458,15.515
49º,Ford Ranger,1.368,1.091,814,1.049,1.164,1.133,1.194,1.302,1.208,1.592,1.489,1.583,14.987
50º,Volkswagen Jetta,5,22,13,1.013,1.745,1.622,1.120,928,1.279,1.601,2.325,2.414,14.087
51º,Nissan Frontier,780,751,1.043,828,954,1.192,1.144,1.488,1.475,1.031,1.332,1.663,13.681
52º,Hyundai ix35,748,849,1.054,1.291,1.522,1.278,1.048,1.098,1.093,1.179,1.197,1.268,13.625
53º,Fiat Ducato,955,1.044,1.282,1.166,1.120,1.005,1.127,1.348,1.092,992,1.116,1.244,13.491
54º,Fiat Doblò,891,1.078,1.013,1.130,1.400,1.171,1.222,1.191,891,862,1.252,1.079,13.180
55º,Volkswagen Polo Sedan,1.127,977,1.145,925,1.085,1.005,1.103,1.075,1.315,1.005,1.039,1.141,12.942
56º,JAC J3,,3,324,1.317,1.927,1.765,1.550,1.535,1.265,1.072,913,1.138,12.809
57º,Chevrolet Captiva,1.029,1.229,1.337,1.068,1.029,923,805,1.083,962,1.036,1.080,1.149,12.730
